Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands),Region
Djibouti,11.5,43.0,..,..,..,Africa
Dominica,15.4167,-61.3333,..,..,..,North America
Dominican Republic,19.0,-70.6667,..,..,..,North America
Ecuador,-2.0,-77.5,13937,9756,4181,South America
Egypt,27.0,30.0,..,..,..,Africa
El Salvador,13.8333,-88.9167,..,..,..,North America
Equatorial Guinea,2.0,10.0,..,..,..,Africa
Eritrea,15.0,39.0,..,..,..,Africa
Estonia,59.0,26.0,219,2640,..,Europe
Ethiopia,8.0,38.0,..,..,..,Africa
Falkland Islands (Malvinas),-51.75,-59.0,..,..,..,South America
Faroe Islands,62.0,-7.0,..,..,..,Europe
Fiji,-18.0,175.0,..,..,..,Oceania
Finland,64.0,26.0,..,27100,..,Europe
France,46.0,2.0,274644,201310,73335,Europe
French Guiana,4.0,-53.0,..,..,..,South America
French Polynesia,-15.0,-140.0,..,..,..,Oceania
French Southern Territories,-43.0,67.0,..,..,..,Unknown
Gabon,-1.0,11.75,..,..,..,Africa
Gambia,13.4667,-16.5667,..,..,..,Africa
Georgia,42.0,43.5,16333,7692,8641,Asia
Germany,51.0,9.0,..,135069,..,Europe
Ghana,8.0,-2.0,..,..,..,Africa
Gibraltar,36.1833,-5.3667,..,..,..,Europe
Greece,39.0,22.0,21682,5990,15692,Europe
Greenland,72.0,-40.0,..,..,..,North America
Grenada,12.1167,-61.6667,..,..,..,North America
Guadeloupe,16.25,-61.5833,..,..,..,North America
Guam,13.4667,144.7833,..,..,..,Oceania
Guatemala,15.5,-90.25,..,..,..,North America
Guernsey,49.5,-2.56,..,..,..,Europe
Guinea,11.0,-10.0,..,..,..,Africa
Guinea-Bissau,12.0,-15.0,..,..,..,Africa
Guyana,5.0,-59.0,..,..,..,South America
Haiti,19.0,-72.4167,..,..,..,North America
Heard Island and McDonald Islands,-53.1,72.5167,..,..,..,Antarctica
Holy See (Vatican City State),41.9,12.45,..,..,..,Unknown
Honduras,15.0,-86.5,..,..,..,North America
Hong Kong,22.25,114.1667,..,..,..,Asia
Hungary,47.0,20.0,45511,12499,33013,Europe
Iceland,65.0,-18.0,..,..,..,Europe
India,20.0,77.0,..,1731010,..,Asia
Indonesia,-5.0,120.0,734865,497334,237531,Asia
"Iran, Islamic Republic of",32.0,53.0,..,..,..,Asia
Iraq,33.0,44.0,..,..,..,Asia
Ireland,53.0,-8.0,..,..,..,Europe
Isle of Man,54.23,-4.55,..,..,..,Europe
Israel,31.5,34.75,..,..,..,Asia
Italy,42.8333,12.8333,90260,43996,46264,Europe
Jamaica,18.25,-77.5,..,..,..,North America
Japan,36.0,138.0,417854,232467,185387,Asia
Jersey,49.21,-2.13,..,..,..,Europe
Jordan,31.0,36.0,..,..,..,Asia
Kazakhstan,48.0,68.0,8868,7721,1147,Asia
Kenya,1.0,38.0,..,..,..,Africa
Kiribati,1.4167,173.0,..,..,..,Oceania
"Korea, Democratic People's Republic of",40.0,127.0,..,..,..,Asia
"Korea, Republic of",37.0,127.5,283722,116589,167133,Asia
Kuwait,29.3375,47.6581,..,..,..,Asia
Kyrgyzstan,41.0,75.0,5959,..,..,Asia
Lao People's Democratic Republic,18.0,105.0,..,..,..,Asia
Latvia,57.0,25.0,9296,2828,6468,Europe
Lebanon,33.8333,35.8333,..,..,..,Asia
Lesotho,-29.5,28.5,..,..,..,Africa
Liberia,6.5,-9.5,..,..,..,Africa
Libyan Arab Jamahiriya,25.0,17.0,..,..,..,Unknown
Liechtenstein,47.1667,9.5333,..,..,..,Europe
Lithuania,56.0,24.0,12185,3595,8590,Europe
Luxembourg,49.75,6.1667,..,155,..,Europe
Macao,22.1667,113.55,..,..,..,Asia
"Macedonia, the former Yugoslav Republic of",41.8333,22.0,..,..,..,Unknown
Madagascar,-20.0,47.0,..,..,..,Africa
