Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SAMOA,7,9,12,11,4,..,..,..,..,12,20,21,20,22,20,25,22,22,14,4,3,2,4,4,5,1.8,1.1,5.8
SAN MARINO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,192,205,197,151,209,..
SAO TOME AND PRINCIPE,..,..,..,1.9,2.2,2.2,2.0,1.8,1.8,2.1,0.5,1.1,0.7,0.3,0.4,0.6,1.4,3.2,..,..,..,..,..,..,..,..,..,..
SAUDI ARABIA,..,..,..,..,..,..,..,"7,370","4,165",..,..,..,"21,031","16,005","21,312","22,076","18,202","17,986","18,648","25,137","20,366","17,671","19,065","17,939","16,415","9,379","13,130","18,662"
SENEGAL,154,127,128,135,136,125,112,112,129,138,144,139,352,277,260,217,250,248,265,280,261,277,295,324,324,65,263,..
SERBIA,..,..,..,..,..,..,..,105,144,208,260,322,"1,203","1,448","1,105","1,103","1,263","1,188","1,290","1,360","1,254","1,351","1,549","1,837","2,000","1,179","1,718","2,629"
SERBIA AND MONTENEGRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SEYCHELLES,34,31,31,29,28,44,41,53,54,53,59,56,73,64,56,63,65,58,62,65,54,92,107,101,109,39,58,70
SIERRA LEONE,51,37,18,13,44,35,42,39,38,30,34,15,17,24,26,22,26,32,71,45,34,37,62,61,83,12,13,..
SINGAPORE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT EUSTATIUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT MAARTEN (DUTCH PART),..,..,..,..,..,..,..,..,..,..,..,..,83,88,104,105,112,120,114,117,118,114,100,77,77,21,57,61
SLOVAKIA,338,517,484,527,387,341,340,506,662,900,"1,122","1,230","1,825","2,671","2,251","2,146","2,450","2,309","2,523","2,582","2,266","2,420","2,599","2,823","2,797","1,494","1,549","2,367"
SLOVENIA,606,638,554,601,579,544,560,647,805,937,"1,019","1,059","1,260","1,611","1,771","1,642","1,727","1,508","1,559","1,646","1,370","1,484","1,641","1,864","1,772",955,"1,421","1,830"
SOLOMON ISLANDS,17,19,15,10,11,12,11,9,6,12,11,27,36,41,38,51,66,68,68,66,61,75,73,53,63,31,26,33.3
SOMALIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOUTH AFRICA,"2,414","2,322","2,558","2,500","2,717","2,684","2,366","2,251","3,655","4,237","4,812","5,230","6,104","6,905","6,421","8,139","8,339","7,049","6,346","6,126","5,519","5,154","5,781","6,017","5,551","1,466","1,669","4,247"
SOUTH SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,239,759,323,293,513,..,469,..,193
SPAIN,"5,826","6,332","6,163","7,119",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SRI LANKA,279,267,280,326,341,383,402,438,462,499,552,666,709,777,735,828,926,"1,219","1,808","1,922","2,152","2,295","2,409","2,487","2,436",803,328,424
STATE OF PALESTINE,..,..,..,295,301,290,361,373,312,336,223,211,395,477,479,521,603,647,630,514,606,620,813,826,"1,448","1,146","1,240",918
SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SURINAME,27,38,41,49,47,67,62,54,68,85,94,33,28,35,35,41,49,58,75,90,128,112,99,104,94,64,75,91
SWEDEN,"6,816","7,642","6,850","8,591","8,927","8,959","7,916","8,221","9,375","11,088","11,088","11,159","13,646","14,622","12,075","13,973",..,..,..,..,..,..,..,..,..,..,..,..
SWITZERLAND,"9,478","9,798","8,944","8,754","7,646","7,837","7,540","7,633","9,148","10,518","11,218","11,822","12,984","14,083","13,799","14,332","17,538","18,878","19,964","20,849","19,672","19,942","21,507","21,463","21,196","10,856","12,675","18,331"
SYRIAN ARAB REPUBLIC,..,..,..,..,..,..,..,..,734,688,584,585,710,911,980,"1,598",850,..,..,..,..,..,..,..,..,..,..,..
TAIWAN PROVINCE OF CHINA,"9,487","9,106","9,288","8,395","8,722","9,531","8,691","8,229","7,402","9,376","10,047","10,406","10,729","10,710","8,668","10,700","11,701","12,444","14,158","15,953","17,388","19,229","20,502","22,254","22,890","3,423","1,423","3,423"
TAJIKISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.4,31.4,36.5,42.5,..,..,24.6,15.1,24.2,28.4,10.8,22.8,36.9
"TANZANIA, UNITED REPUBLIC OF",..,..,424,521,403,369,363,361,375,470,577,571,616,746,806,861,928,"1,003","1,101","1,185","1,288",992,873,818,738,226,214,390
THAILAND,"4,791","4,735","3,752","2,246","2,870","3,218","3,334","3,888","3,538","5,343","4,920","6,176","6,889","6,707","5,744","7,155","7,534","8,095","8,238","8,824","9,539","11,267","12,676","14,406","14,969","5,212","4,233","7,726"
TIMOR-LESTE,..,..,..,..,..,..,..,..,..,..,..,2.0,5,51,69,68,62,92,57,84,100,118,137,131,110,61,32,61
TOGO,40,19,14,16,17,15,20,26,37,38,42,42,59,68,94,89,81,46,58,60,53,55,57,65,61,36,..,..
TONGA,..,..,..,..,..,..,..,..,13,16,16,15,17,21,20,22,23,29,29,30,32,24,38,41,44,38,19,21
TRINIDAD AND TOBAGO,91,98,97,92,106,190,172,208,143,141,234,146,155,102,136,97,188,223,116,168,253,230,147,149,133,47,41,99
TUNISIA,294,282,266,271,276,310,322,303,355,427,452,498,530,555,478,611,678,673,768,770,767,823,871,954,889,408,494,869
T†RKIYE,..,..,..,..,..,..,..,..,..,..,"3,563","3,517","4,254","4,509","5,061","5,817","5,372","4,585","5,017","5,331","5,635","5,698","5,865","6,068","5,262","1,410","2,095","4,706"
TURKMENISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TURKS AND CAICOS ISLANDS,153,174,235,194,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TUVALU,..,..,..,..,..,..,4.2,3.9,4.3,4.6,4.6,5.4,6.9,8.4,7.5,8.7,11.5,11.5,6.9,7.5,9.4,11.7,14.9,13.1,14.0,10.4,11.5,12.8
UGANDA,..,..,..,..,..,..,..,..,..,158,185,196,220,315,351,464,540,642,349,342,278,309,365,497,629,269,437,419
UKRAINE,..,405,462,487,460,561,676,794,953,"2,660","3,078","3,202","4,022","4,585","3,751","4,134","4,829","5,536","6,300","5,470","5,408","6,306","7,536","8,287","8,907","4,823","6,443","19,830"
UNITED ARAB EMIRATES,..,..,..,..,..,"3,019","3,321","3,651","3,956","4,472","6,186","8,827","11,273","13,288","10,347","11,818","13,206","15,072","16,188","15,848","16,637","17,127","17,645","18,004","18,382","15,085","21,600",..
UNITED KINGDOM,"30,749","32,298","35,954","41,458",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UNITED STATES OF AMERICA,"61,042","65,477","71,948","78,423","77,260","85,490","82,185","79,362","81,708","93,343","98,694","105,403","112,928","119,135","115,123","123,831","130,606","138,167","132,322","140,228","144,669","147,640","158,287","176,396","184,786","47,074","74,546","161,939"
UNITED STATES VIRGIN ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
URUGUAY,332,339,391,..,..,381,338,243,236,267,331,305,354,466,442,549,797,"1,043","1,486","1,559","1,384","1,079","1,222","1,252","1,424",384,276,"1,215"
UZBEKISTAN,..,..,..,..,..,..,..,..,..,..,815,842,"1,143","1,168","1,360","1,396","1,782","2,021","1,877","1,509","1,902","1,832","2,107","2,722","2,790","1,141","2,210","3,799"
VANUATU,10,10,10,..,..,..,..,11,14,15,13,11,13,32,28,34,39,43,46,44,32,41,65,84,108,76,119,116
"VENEZUELA, BOLIVARIAN REPUBLIC OF","1,852","2,336","1,168","1,319","1,483","1,647","1,718","1,546","1,311","1,604","1,843","1,807","2,292","2,745","3,019","2,944","3,994","4,592","5,417","4,118","3,249","2,920",..,..,..,..,..,..
VIET NAM,..,..,..,..,..,..,..,..,..,..,900,"1,050","1,220","1,300","1,100","1,470","1,710","1,856","2,050","2,650","3,595","4,500","5,040","5,910","6,460","4,610","3,830",..
YEMEN,..,..,..,160,164,127,136,135,134,183,224,225,247,246,277,252,258,148,161,158,79,56,..,..,..,..,..,..
ZAMBIA,..,..,83,81,100,102,102,109,115,86,87,92,120,164,143,167,223,303,357,378,400,423,410,478,511,336,430,740
ZIMBABWE,106,118,120,131,..,..,..,..,..,..,..,..,..,..,167,203,317,387,441,451,557,406,337,269,257,157,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,

