Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"CONGO, DEMOCRATIC REPUBLIC OF THE",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COOK ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,22,22,23,24,21,22,22,23,21,20,22,..
COSTA RICA,336,357,401,466,509,545,430,427,484,530,591,647,825,753,500,629,620,647,649,657,898,"1,055","1,322","1,198","1,451",426,764,"1,175"
COTE D«IVOIRE,312,347,317,331,337,291,289,490,551,571,549,583,606,612,589,569,580,560,583,625,560,491,564,625,628,324,422,..
CROATIA,..,..,..,..,806,..,..,..,..,..,..,..,..,..,..,..,..,..,923,865,770,954,"1,410","1,741","1,811",789,"1,121","1,490"
CUBA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CURA‚AO,..,..,..,..,..,..,..,137,176,195,164,191,223,229,258,282,321,357,377,383,419,428,447,452,411,127,73,484
CYPRUS,473,500,511,536,560,543,568,582,700,907,"1,001","1,031","1,554","1,968","1,742","1,320","1,366","1,318","1,254","1,343","1,453","1,559","1,378","1,569","1,635",752,882,"1,342"
CZECH REPUBLIC (CZECHIA),..,..,..,..,..,..,..,"1,797","2,177","2,682","2,603","2,874","3,895","5,029","4,336","4,354","4,876","4,556","4,698","5,173","4,819","4,962","5,533","6,074","6,034","3,447","3,278","5,017"
DENMARK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DJIBOUTI,16,17,17,16,12,15,13,8,10,14,14,15,14,16,18,21,34,30,..,..,..,..,..,..,..,..,..,..
DOMINICA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,34,33,28,29,31,8,5,11
DOMINICAN REPUBLIC,267,313,339,380,391,440,425,429,408,448,511,495,531,532,523,662,689,690,679,717,803,882,940,"1,006","1,060",441,"1,095","1,545"
ECUADOR,331,313,331,325,385,416,465,507,500,577,644,706,733,790,806,863,917,944,989,990,994,"1,454","1,463","1,523","1,649",533,914,"1,225"
EGYPT,"1,371","1,382","1,431","1,271","1,218","1,206","1,248","1,309","1,465","1,543","1,932","2,156","2,886","3,390","2,941","2,696","2,575","3,037","3,261","3,486","3,636","4,351","2,419","2,897","3,718","2,568","3,315","5,465"
EL SALVADOR,99,102,..,..,205,219,247,266,311,373,288,307,363,326,253,280,244,287,270,277,332,451,466,490,515,168,334,632
EQUATORIAL GUINEA,7,13,7,7,8,19,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ERITREA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ESTONIA,121,141,162,197,255,253,253,305,404,486,530,706,804,939,..,..,..,..,"1,236","1,346","1,169","1,299","1,395","1,647","1,808",679,800,"1,392"
ESWATINI,45,44,40,60,35,32,31,..,23,54,60,54,63,59,98,87,35,53,48,62,64,33,74,43,35,36,42,56
ETHIOPIA,30,30,48,51,57,80,50,55,63,59,..,..,..,..,139,..,..,..,..,..,..,461,364,613,661,323,642,529
FIJI,82,88,87,67,82,96,84,79,88,118,132,113,106,108,108,102,116,110,105,99,115,119,138,160,174,77,74,161
FINLAND,"2,853","2,760","2,541","2,565","2,525","2,293","2,442","2,440","2,956","3,385","3,620","4,099","4,812","5,577","5,236","5,268","6,013","5,841","6,387","6,326","5,786","6,199","6,740","7,223","6,841","1,914","1,606","4,937"
FRANCE,"20,699","22,049",..,..,"31,630","29,016","28,781","30,270","35,807","36,362","38,633","39,319","46,042","50,373","45,087","46,695","55,509","50,068","52,444","58,464","47,713","49,029","53,787","59,131","59,754","31,446","38,957","47,822"
FRENCH GUIANA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FRENCH POLYNESIA,..,..,..,..,..,..,..,264,335,425,430,..,..,388,339,335,327,300,293,312,277,226,..,..,..,..,..,..
GABON,182,168,156,158,195,183,256,234,239,275,346,..,328,490,476,560,658,441,404,509,346,..,..,..,..,..,..,..
GAMBIA,16,16,17,..,..,..,..,..,8,6,7,8,13,12,12,14,16,13,10,55,5,7,9,10,10,4,12,13
GEORGIA,..,..,171,239,135,129,136,189,170,196,237,257,277,337,311,329,384,471,537,563,609,706,853,960,"1,124",292,347,782
GERMANY,"66,527","64,725","59,000","60,253","61,215","57,607","56,437","59,550","72,839","80,321","84,513","85,717","96,170","105,691","92,899","90,866","99,909","96,196","102,668","101,737","85,334","87,412","89,736","95,199","93,097","38,752","50,564","88,252"
GHANA,74,59,61,145,151,162,165,184,216,270,472,575,816,870,948,882,"1,026",976,982,947,"1,405","1,571","1,581","1,329","1,380",946,"1,271","1,534"
GREECE,"1,495","1,396","1,537",..,"4,014","4,564","4,190","2,456","2,441","2,882","3,044","3,005","3,430","3,946","4,122","3,400","3,809","3,005","3,768","4,003","3,535","3,412","3,306","3,910","4,211","1,500","2,221","3,559"
GRENADA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,40,40,38,42,52,14,12,36
GUADELOUPE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUATEMALA,167,163,146,190,216,216,266,329,373,488,532,655,737,821,751,843,883,926,995,"1,029","1,020","1,032","1,066","1,105","1,128",344,455,"1,270"
GUINEA,29,37,39,34,29,13,26,38,36,29,38,41,96,30,28,16,49,42,61,29,38,16,102,412,420,"1,075",1,0.5
GUINEA-BISSAU,6,5,4,..,..,..,6,10,21,22,19,18,41,46,26,30,39,25,..,..,..,33,63,75,89,53,70,..
GUYANA,..,65,69,69,82,77,62,44,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HAITI,..,..,..,..,..,173,168,172,202,206,174,239,331,383,427,431,458,473,418,475,503,221,207,227,179,46,59,83
HONDURAS,99,110,115,142,166,198,205,221,274,300,321,425,309,385,361,406,446,549,506,437,454,482,517,558,655,200,417,623
"HONG KONG, CHINA",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HUNGARY,"1,501","1,491","1,511","1,496","1,590","1,722","1,887","2,211","2,700","2,482","2,721","2,319","3,088","3,857","3,251","2,897","3,048","2,457","2,526","2,712","2,456","2,738","3,049","3,239","3,352","1,325","1,713","3,092"
ICELAND,..,312,327,399,440,..,..,373,524,699,991,"1,084","1,336",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
